staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
0,2,10,21.5687255,22.1057045,22.1057045,22.1106327,22.4194483,-10,1,0.8510328,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-10,10
1,2,8,22.9862303,23.4864102,23.4864102,23.4864102,23.7858509,8,1,0.506315,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,8,8
2,2,6,24.0192426,24.5200804,24.5200804,24.5200804,24.8195018,-6,1,0.4411994,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-6,6
3,2,4,24.9863265,25.4866606,25.4866606,25.4866606,25.7862357,-4,1,0.5980439,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
4,1.5,2,26.1028191,26.6032415,26.6032415,26.6032415,26.9028873,-2,0,0.5666691,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
5,1.5,3.5,27.1862498,27.6867087,27.6867087,27.6867087,27.9864986,3.5,1,0.45599,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
6,1.5,3.5,28.1697553,28.6693276,28.6693276,28.6693276,28.9696502,3.5,0,0.4570971,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
7,1.5,5,29.1527137,29.6534079,29.6534079,29.6534079,29.9529126,-5,1,0.6735336,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-5,5
8,1.5,5,30.3527646,30.8531726,30.8531726,30.8531726,31.1531094,5,1,0.556861,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,5,5
9,1,5,31.4359571,31.9359365,31.9359365,31.9359365,32.2365228,-5,1,0.4668459,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-5,5
10,1,4,32.4194514,32.9200311,32.9200311,32.9200311,33.2195833,-4,1,0.8769556,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
11,1,4,33.819339,34.3199294,34.3199294,34.3199294,34.6194266,-4,1,0.5706707,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
12,1,4,34.9189145,35.4199013,35.4199013,35.4199013,35.719955,4,1,0.623432,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
13,1,3,36.0688574,36.5700581,36.5700581,36.5700581,36.8694362,3,1,0.7554547,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
14,1,3,37.3527999,37.8533748,37.8533748,37.8533748,38.1529932,3,1,0.7110342,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
